id,created_at,language_id,category_id,phrase,keyword,difficulty_id,english_translation
1,2024-07-04 14:02:41.559916+00,1,2,Come stai?,stai,1,How are you?
2,2024-07-04 14:03:29.247555+00,1,2,Mi chiamo...,chiamo,1,My name is...
3,2024-07-04 14:04:19.291891+00,1,2,"Scusi, dov'è il bagno?",Scusi,1,"Excuse me, where is the bathroom?"
4,2024-07-04 14:05:34.671743+00,1,2,Grazie mille per il tuo aiuto.,aiuto,1,Thank you very much for your help.
5,2024-07-04 14:06:14.552761+00,1,2,Che ore sono?,sono,1,What time is it?
6,2024-07-04 14:40:02.971526+00,1,2,Quanto costa questo?,costa,1,How much does this cost?
7,2024-07-04 14:41:03.962294+00,1,2,Non parlo molto bene l'italiano.,parlo,1,I don't speak Italian very well.
8,2024-07-04 14:41:47.626947+00,1,2,Dov'è la stazione ferroviaria più vicina?,ferroviaria,1,Where is the nearest train station?
9,2024-07-04 14:42:19.094788+00,1,2,Buon appetito!,appetito,1,Enjoy your meal!
10,2024-07-04 14:43:10.838222+00,1,2,"Potrei avere il conto, per favore?",potrei,1,"Could I have the bill, please?"
11,2024-07-04 14:44:58.758805+00,1,2,Vorrei prenotare un tavolo per due persone.,prenotare,1,I'd like to book a table for two people.
12,2024-07-04 14:50:38.548336+00,1,2,Che bel tempo oggi!,tempo,1,What lovely weather today!
13,2024-07-04 14:51:13.681129+00,1,2,A che ora apre il museo?,apre,1,What time does the museum open?
14,2024-07-04 14:52:01.246031+00,1,2,"Mi piacerebbe ordinare un caffè, per favore.",piacerebbe,1,"I would like to order a coffee, please."
15,2024-07-04 14:52:40.967752+00,1,2,Dove posso comprare i biglietti per l'autobus?,biglietti,1,Where can I buy bus tickets?
